pair,sector,cointegration_pvalue,correlation,half_life,hedge_ratio,phi,sigma_eq,cointegration_pvalue_log,correlation_log,half_life_log,hedge_ratio_log,phi_log,sigma_eq_log,period
CMCSA-GOOGL,CommServices,0.011547833782165543,0.7522221519212924,2.801583551522123,11.31560456283372,0.7525873607505467,11.796420772204034,0.014449848232059853,0.7594430263778774,2.753853252398109,0.743523513336604,0.7482991586583856,0.03164898144808433,2026-05-01 to 2026-06-30
AXP-JPM,Financials,0.015364083923547787,0.9210888380141854,1.6876167972080671,0.9596012872115736,0.5892745428306573,4.993712107452636,0.015892260271260204,0.9163826620361919,1.732165978567159,0.9813047768972085,0.5998378970973013,0.01628456858123829,2026-05-01 to 2026-06-30
GOOGL-T,CommServices,0.02535146174773692,0.7926897324084151,1.6352870772936388,0.05561203203400329,0.5761311942199853,0.7453532993029505,0.016107052338031138,0.7949041025784436,1.5887337321377644,0.867544058060334,0.5637109186148758,0.03135895011724813,2026-05-01 to 2026-06-30
HON-UPS,Industrials,0.017406760442924035,0.5271152490710231,3.8846170519039895,0.31182820569855335,0.8215661489154487,4.186467416652554,0.019185874922289674,0.5287655806409297,3.83659931011693,0.6766200977642871,0.8193329236305316,0.040626497377100904,2026-05-01 to 2026-06-30
MO-PG,Staples,0.01902377515064408,0.12375232293402212,3.838098717340523,0.23666172145450437,0.8194035037639059,3.6132750884038605,0.020218236949452136,0.12672579629857275,3.8317563398816885,0.11720136078976395,0.819104577881028,0.024750057695683152,2026-05-01 to 2026-06-30
ABT-TMO,Healthcare,0.021338258648870158,0.63984530252443,3.5572546528756788,4.534707713270649,0.8051454708198621,14.940191196125651,0.020327294813175467,0.6324101088296096,3.6335431145728365,0.836328727111729,0.809236560925896,0.031861869995126066,2026-05-01 to 2026-06-30
MO-WMT,Staples,0.02046060812662667,0.09841389537552356,14.785171010908858,0.3463134092937632,0.9531187579738831,7.041027645103208,0.021530432821161846,0.09701984699869434,15.080811278801301,0.19442063138740995,0.9540378055433739,0.0574326106752744,2026-05-01 to 2026-06-30
KO-PG,Staples,0.0214332661056512,0.4380634573118904,3.691474217936671,0.9892122470558764,0.812230252837205,3.1286293109413172,0.02156709718044116,0.4391906231820726,3.6960967859624674,0.5426361036360046,0.8124650893362769,0.02139741839735612,2026-05-01 to 2026-06-30
MO-PEP,Staples,0.02146731950665459,0.0026584164991646465,5.4132393185530745,0.006721913007891711,0.8719533462737762,3.8993143572027074,0.02281587242343237,0.0020834496539224308,5.503963671422249,0.002531939375305825,0.8740639978859394,0.02700133156619472,2026-05-01 to 2026-06-30
INTC-ORCL,Tech,0.03703568499909548,-0.49798796584566757,3.330712607974519,-1.0945283189556163,0.7918922278372544,18.317299735888053,0.027291851219262045,-0.49230090257564924,3.614318253498652,-0.6553402656314784,0.8082218742389439,0.09642516319412722,2026-05-01 to 2026-06-30
KO-MO,Staples,0.02919482142127234,0.5765130328619787,2.469626808496081,0.6807488686566661,0.7193312049515496,1.2530637286065087,0.027799148767619842,0.5766199832303492,2.4571908178652357,0.7703315585913018,0.717910723285976,0.017829541581890082,2026-05-01 to 2026-06-30
NKE-SBUX,Discretionary,0.0345513312763365,-0.4168822288367835,4.129903365160423,-0.999159991557236,0.8321638258155659,3.2241191938172253,0.03421463618713654,-0.4125634803972512,4.204421095928406,-0.42804185956525664,0.8351384971331263,0.03207955073120128,2026-05-01 to 2026-06-30
ABT-AMGN,Healthcare,0.03242308096223214,0.7115915358672826,1.7836950857191276,2.7961297922432156,0.6113981665871491,6.806342367010495,0.03485540246164023,0.7044399981849245,1.8076191519999352,0.7175755544098728,0.6165413606106945,0.02018206770893147,2026-05-01 to 2026-06-30
DIS-TMUS,CommServices,0.03534981076804441,0.6436135773209979,1.6882019596520046,1.2692608942037347,0.5894169079730092,3.9621680105522996,0.03545275117697434,0.6461282570532064,1.6735432521483746,0.7027784722990074,0.5858205757932263,0.02145754129041735,2026-05-01 to 2026-06-30
AMGN-DHR,Healthcare,0.034670375588045824,0.767654920554001,2.5313249704812253,0.6189550288561633,0.7261721870391962,5.347205031460716,0.03830296218933167,0.7617643816345891,2.6357587290313473,1.1769480922992681,0.737021764198167,0.03037431557410066,2026-05-01 to 2026-06-30
GILD-UNH,Healthcare,0.044736036361192014,-0.7101093722256302,1.76110218756979,-3.185362060075459,0.6064128558511164,11.56521980956066,0.04330840401568113,-0.7105580277740385,1.753441050764126,-1.0475369512036634,0.6046931944145593,0.02940590624658315,2026-05-01 to 2026-06-30
AVGO-CRM,Tech,0.0280684635360227,0.7320354849435078,1.9156487464876149,0.37293014761990034,0.6381658266783792,9.617857461808986,0.04361311141117289,0.724474044749558,2.0536151440945787,0.8866039606584368,0.6624746449921862,0.05615724264092739,2026-05-01 to 2026-06-30
GE-RTX,Industrials,0.04372204231323357,0.8993411496294763,1.1250691505855355,0.1736156991210855,0.3839070423367301,2.3886531111278817,0.048339207402731364,0.8976218758082347,1.1590910891835549,0.3115038723960133,0.40199076066731987,0.013341732500442306,2026-05-01 to 2026-06-30
MA-PYPL,Financials,0.04968862283960313,0.4571685613845206,2.4979773382970833,0.13065247464940338,0.7225166257783282,1.2568967746872868,0.049948776296642974,0.4614252055768466,2.580543244167349,1.4420264070355522,0.7313948595410578,0.028779507379809305,2026-05-01 to 2026-06-30
